season,model,mae,rmse,spearman_rho,kendall_tau,top1_accuracy,top3_accuracy,race_kendall_tau,dnf_brier_score,dnf_roc_auc
2019,Historical Average,3.234576243744858,4.413366322708273,0.6291288202189599,0.48199296486602555,0.38095238095238093,0.6666666666666666,0.49674185463659154,0.17096629336624442,0.4931944444444445
2019,Ridge Regression,3.2342789961330403,4.283953652337624,0.6437491893223094,0.49697008159191614,0.5238095238095238,0.6507936507936508,0.5077694235588973,0.17096629336624442,0.4931944444444445
2019,Random Forest,3.397043530944121,4.2913538857732805,0.6510440485394945,0.49876360878926235,0.42857142857142855,0.7936507936507935,0.5077694235588972,0.17096629336624442,0.4931944444444445
2019,LightGBM Regressor,3.4030631146000836,4.322459631449745,0.6475771173148939,0.4939187561003272,0.42857142857142855,0.7301587301587301,0.5052631578947367,0.17096629336624442,0.4931944444444445
2019,XGBoost Regressor,3.3796136379241943,4.28224092696422,0.6499235963067895,0.49894994927729824,0.42857142857142855,0.73015873015873,0.5022556390977444,0.17096629336624442,0.4931944444444445
2019,LambdaRank Ranking,4.218488978499647,4.984131129327564,0.6359895903900256,0.4859055135219914,0.47619047619047616,0.7619047619047619,0.5097744360902255,0.17096629336624442,0.4931944444444445
2019,PyTorch Embedding NN,3.3671374320983887,4.696793562233212,0.6116272882315118,0.4576755311773323,0.5238095238095238,0.7777777777777776,0.49223057644110274,0.17096629336624442,0.4931944444444445
2020,Historical Average,3.544008817767632,4.672717754267536,0.5943670986523936,0.44928710027574786,0.5882352941176471,0.6274509803921569,0.46687306501547987,0.1865723399156917,0.4688178042278842
2020,Ridge Regression,3.613771447560092,4.619884296103841,0.5809800543305937,0.43634569768807896,0.7058823529411765,0.6862745098039216,0.4619195046439628,0.1865723399156917,0.4688178042278842
2020,Random Forest,3.633572453538388,4.6065633701753725,0.6023234514694259,0.45678884738013836,0.4117647058823529,0.6666666666666667,0.4786377708978328,0.1865723399156917,0.4688178042278842
2020,LightGBM Regressor,3.6071766977670605,4.63000466315955,0.594917963053834,0.4462650694517043,0.47058823529411764,0.7058823529411764,0.46501547987616104,0.1865723399156917,0.4688178042278842
2020,XGBoost Regressor,3.563750743865967,4.572896738667902,0.6070915929808279,0.4597970907860552,0.6470588235294118,0.7058823529411764,0.47801857585139323,0.1865723399156917,0.4688178042278842
2020,LambdaRank Ranking,4.328537498230027,5.290896933417677,0.5978490230492975,0.45254415388133024,0.5294117647058824,0.7058823529411765,0.4761609907120744,0.1865723399156917,0.4688178042278842
2020,PyTorch Embedding NN,3.771250009536743,5.073349053704815,0.5622714520175195,0.4202756043649296,0.6470588235294118,0.6862745098039216,0.4520123839009288,0.1865723399156917,0.4688178042278842
2021,Historical Average,3.240973699526526,4.4619044441528715,0.6449126476203448,0.5085434928345323,0.5,0.6666666666666665,0.539712918660287,0.18400531536398923,0.4346056319231283
2021,Ridge Regression,3.3239026819937156,4.380750658538858,0.6540977135487012,0.5156316506865014,0.45454545454545453,0.6666666666666665,0.5550239234449762,0.18400531536398923,0.4346056319231283
